Account ID	Shares	Share of total	Recovered	Comment
0x9c1ae32c81993146eb0cb0030f1277a931902419	297513490355	65.23%	$182,042.89377	
0x7bf716167b48cf527725722c6d79494b45b3bdca	0	0.00%	$0.00000	Exploiter
0x3ad13e5ecec45874f55313b6760f44cec72bf4ac	30739854040	6.74%	$18,809.13695	
0xa1b905648a8c42a80e7eceac642d342d4cc94ee3	24333812496	5.33%	$14,889.40094	
0x51bc9862ad17023fa88435f51fcaa6e677b2ca97	23945015395	5.25%	$14,651.50333	
0x41338e279d54ddb142588d025e91714cd6760a51	23644523806	5.18%	$14,467.63819	
0x2f9fb3cd8a11b73bc10e4a05b79d759d6b35405a	23609518980	5.18%	$14,446.21940	
0x2698ea57dd3831a91e367aa667238e84da4cb0c1	9782008132	2.14%	$5,985.42629	
0x83dc37b97aabbf3cdf0833192507d871bbebb3e9	8124719132	1.78%	$4,971.36241	
0xda41109927ac8ffae1e9fbeeec40fbedd2221684	4863023559	1.07%	$2,975.59240	
0xb4b06edc410071156881b887bd09222d158dd4ac	3336993039	0.73%	$2,041.84311	
0xaedf72d38fffa206ba798a0510dd6babd82d28a4	2995337424	0.66%	$1,832.79048	
0xb0dd3df3f4f9b4767e5cc68de3a41c91624bff76	1915088049	0.42%	$1,171.80626	
0xd9eb339beeb9048307b699e74a8640e518f01604	591969564	0.13%	$362.21501	
0x9842f269256066d7531f4b0686563dfe8361ad98	498750060	0.11%	$305.17576	
0xb81eb60c0e7497b7aad200e5b50de9d052785bb4	149643984	0.03%	$91.56433	
0x8cce2310608eef6a1b20076f723fe07aa62f0d08	47823513	0.01%	$29.26231	
0x01c84ff8c26fd7cf4ad6e1e35428d8d4146cad14	23898167	0.01%	$14.62284	
0x21dc459fba0b1ea037cd221d35b928be1c26141a	4778387	0.00%	$2.92380	
0xddc68f9de415ba2fe2fd84bc62be2d2cff1098da	2067022	0.00%	$1.26477	
0x798ff1e6d7afd28c333ee6ebe03125d30ec6ef10	961379	0.00%	$0.58825	
0x10649c79428d718621821cf6299e91920284743f	500024	0.00%	$0.30596	
0xf8120971afed275bb66ab6eb8885cb014ff76f58	477033	0.00%	$0.29189	
0xfa9847f1a5eb0236d40500145135d18db6c6ad4e	94645	0.00%	$0.05791	
0x000000000004444c5dc75cb358380d2e3de08a90	763	0.00%	$0.00047	
